StateAp,State,Lat,Long
WV,West Virginia,38.6472854,-80.6183274
FL,Florida,28.4574302,-82.4091478
IL,Illinois,40.1028754,-89.1526108
MN,Minnesota,46.3158148,-94.1996628
MD,Maryland,38.9466584,-76.6744939
RI,Rhode Island,41.5974187,-71.5272723
ID,Idaho,44.3484222,-114.5588538
NH,New Hampshire,43.6726907,-71.5843145
NC,North Carolina,35.53971,-79.1308636
VT,Vermont,44.0604795,-72.6733274
CT,Connecticut,41.5798637,-72.7466572
DE,Delaware,38.9986239,-75.441692
NM,New Mexico,34.4346843,-106.1316181
CA,California,37.1551773,-119.5434183
NJ,New Jersey,40.1072744,-74.6652012
WI,Wisconsin,44.6309071,-89.7093916
OR,Oregon,43.9717125,-120.6229578
NE,Nebraska,41.5433014,-99.8118616
PA,Pennsylvania,40.9024957,-77.8334514
WA,Washington,47.4073238,-120.5757999
LA,Louisiana,30.8634368,-91.7987173
GA,Georgia,32.6295789,-83.4235109
AL,Alabama,32.7396323,-86.8434593
UT,Utah,39.3349925,-111.6563326
OH,Ohio,40.4149297,-82.7119975
TX,Texas,31.4347032,-99.2818238
CO,Colorado,38.9938482,-105.5083165
SC,South Carolina,33.8741776,-80.8542639
OK,Oklahoma,35.5900512,-97.4868149
TN,Tennessee,35.8585557,-86.349358
WY,Wyoming,42.9918024,-107.5419255
HI,Hawaii,22.0120383,-159.7059653
ND,North Dakota,47.442174,-100.4608258
KY,Kentucky,37.5336844,-85.2929801
VI,United States Virgin Islands,18.3267484,-64.9712505
MP,Commonwealth of the Northern Mariana Islands,14.9367835,145.601021
GU,Guam,13.4382886,144.7729493
ME,Maine,45.4092789,-68.6665979
NY,New York,42.9133974,-75.5962723
NV,Nevada,39.3310928,-116.6151469
AK,Alaska,63.2813242,-152.5730397
AS,American Samoa,-14.2668475,-170.6671854
MI,Michigan,44.8441757,-85.660493
AR,Arkansas,34.8955256,-92.4446262
MS,Mississippi,32.6864714,-89.6561377
MO,Missouri,38.35075,-92.4567826
MT,Montana,47.0511771,-109.6348174
KS,Kansas,38.4985464,-98.3834298
IN,Indiana,39.9030256,-86.2839503
PR,Puerto Rico,18.217648,-66.4107992
SD,South Dakota,44.4467957,-100.2381762
MA,Massachusetts,42.1565196,-71.4895915
VA,Virginia,37.5222512,-78.6681938
DC,District of Columbia,38.9041031,-77.017229
IA,Iowa,42.0700243,-93.4933473
AZ,Arizona,34.2039355,-111.6063565